target_day,new_day,rmse_spfh,rmse_prmsl,rmse_rh
1976-01-07,1995-01-09,0.9422253,0.43805757,0.7483785
1977-01-07,1973-12-31,0.96710217,0.42946348,0.89937955
1978-01-07,1975-01-03,0.8044179,0.36969277,0.8453858
1979-01-07,1990-01-11,1.2106327,0.43971336,1.0165012
1980-01-07,1967-01-07,0.6421012,0.3667916,1.1579933
1981-01-07,1986-01-17,0.6485453,0.66249573,0.7610605
1982-01-07,1963-01-11,0.9487871,0.51645046,1.24954
1983-01-07,2005-01-02,0.83266056,0.43333134,0.76389384
1984-01-07,1979-12-29,0.8772515,0.38404107,1.0355213
1985-01-07,1971-01-01,0.58581746,0.5992987,1.1075317
1986-01-07,2013-01-12,0.74698865,0.45593938,0.9155601
1987-01-07,2017-01-05,0.6816569,0.39810675,0.7785236
1988-01-07,1965-01-09,0.7306092,0.5731606,0.95676
1989-01-07,2013-01-02,0.955136,0.36301094,0.98327434
1990-01-07,1993-01-05,0.8933803,0.47620773,0.9111598
1991-01-07,1962-01-13,0.682924,0.54769623,0.6564829
1992-01-07,2007-01-15,0.8373348,0.39354622,0.85433245
1993-01-07,2007-01-06,0.82077485,0.35781002,0.70979774
1994-01-07,1961-01-04,0.765475,0.36142695,0.90363055
1995-01-07,1958-01-15,0.9813872,0.48410785,0.93971694
1996-01-07,1969-01-13,0.90147215,0.6143361,0.84592795
1997-01-07,2003-01-09,0.76752627,0.3769445,0.92863375
1998-01-07,2014-01-09,0.7816791,0.39865866,0.78222406
1999-01-07,1968-01-16,0.8508536,0.33676532,0.9431759
2000-01-07,2005-01-06,0.7121156,0.6218095,0.63250697
2001-01-07,2006-01-01,0.8782713,0.43748054,1.001933
2002-01-07,1989-01-02,1.0958352,0.3737315,0.8695694
2003-01-07,1963-01-13,0.7247741,0.59321004,0.979316
2004-01-07,1989-01-13,0.7953575,0.71254796,0.8364092
2005-01-07,1992-01-02,0.89314437,0.39499184,0.71280974
2006-01-07,1980-01-10,0.989355,0.3467069,1.1585629
2007-01-07,1983-01-04,0.7316061,0.3431074,0.6933492
2008-01-07,1966-12-31,0.96527994,0.33961052,0.83437103
2009-01-07,1994-01-17,0.578171,0.29773363,0.90294826
2010-01-07,1996-12-30,0.59775096,0.5979904,0.9412849
2011-01-07,1990-12-30,0.94179755,0.64654696,0.88730836
2012-01-07,1967-01-13,0.6770696,0.5512903,0.92368215
2013-01-07,2015-01-06,1.1723118,0.34530723,0.93774074
2014-01-07,1999-01-04,0.9627602,0.3532254,0.8655354
2015-01-07,1989-01-13,0.9912208,0.45291847,0.7454854
2016-01-07,1994-01-03,0.7967209,0.523607,0.9179863
2017-01-07,1982-12-30,0.78235507,0.43627748,0.956978
2018-01-07,1981-01-11,0.85052043,0.6209791,0.96064466
1958-01-08,1977-12-31,0.7872875,0.5371137,0.7986393
1959-01-08,2000-12-30,0.6249469,0.5055632,0.7997461
1960-01-08,1980-01-08,0.8097871,0.48350635,0.89352286
1961-01-08,1968-01-05,0.9458554,0.26704845,0.84261954
1962-01-08,2006-01-12,0.8379885,0.43459985,0.80006576
1963-01-08,1997-01-10,0.76757973,0.40130922,1.064654
